Original_Filename,Matching_Filename_OR_SC,Alternate_Method,Method_Argument,Similarity_to_Fort
efe\homing4.png, Special Case, stretch_original, ,0
efe\homing4r.png, Special Case, stretch_original, ,0
efe\homing4s.png, Special Case, stretch_original, ,0
efe\homing4sr.png, Special Case, stretch_original, ,0
efe\homing5.png, Special Case, stretch_original, ,0
efe\homing5r.png, Special Case, stretch_original, ,0
efe\homing5s.png, Special Case, stretch_original, ,0
efe\homing5sr.png, Special Case, stretch_original, ,0
efe\homing6.png, Special Case, stretch_original, ,0
efe\homing6bs.png, Special Case, stretch_original, ,0
efe\homing6bsr.png, Special Case, stretch_original, ,0
efe\homing6r.png, Special Case, stretch_original, ,0
efe\homing6s.png, Special Case, stretch_original, ,0
efe\homing6sr.png, Special Case, stretch_original, ,0
efe\homing7.png, Special Case, stretch_original, ,0
efe\homing7bs.png, Special Case, stretch_original, ,0
efe\homing7bsr.png, Special Case, stretch_original, ,0
efe\homing7r.png, Special Case, stretch_original, ,0
efe\homing7s.png, Special Case, stretch_original, ,0
efe\homing7sr.png, Special Case, stretch_original, ,0
efe\javelin1.png, Special Case, stretch_original, ,0
efe\javelin1a.png, Special Case, stretch_original, ,0
efe\javelin1b.png, Special Case, stretch_original, ,0
efe\javelin1c.png, Special Case, stretch_original, ,0
efe\javelin1d.png, Special Case, stretch_original, ,0
efe\key1.bmp, key1.png, , ,98.14453125
efe\key2.bmp, key2.png, , ,97.75390625
efe\letter1.bmp, letter1.png, , ,100
efe\magicsquare_gap.bmp, magicsquare_gap.png, , ,98.73046875
efe\magicsquare_mars3.bmp, magicsquare_mars3.png, , ,96.2890625
efe\magicsquare_mars5.bmp, magicsquare_mars5.png, , ,98.14453125
efe\magicsquare_moon1.bmp, magicsquare_moon1.png, , ,95.5078125
efe\magicsquare_sun7.bmp, magicsquare_sun7.png, , ,95.8984375
efe\map01.bmp, Special Case, use_ps3_same_name, ,0
efe\map02.bmp, Special Case, use_ps3_same_name, ,0
efe\map03.bmp, Special Case, use_ps3_same_name, ,0
efe\map04.bmp, Special Case, use_ps3_same_name, ,0
efe\map05.bmp, Special Case, use_ps3_same_name, ,0
efe\map06.bmp, Special Case, use_ps3_same_name, ,0
efe\map07.bmp, Special Case, use_ps3_same_name, ,0
efe\map08.bmp, Special Case, use_ps3_same_name, ,0
efe\map09.bmp, Special Case, use_ps3_same_name, ,0
efe\map10.bmp, Special Case, use_ps3_same_name, ,0
efe\map10b.bmp, Special Case, use_ps3_same_name, ,0
efe\map10c.bmp, Special Case, use_ps3_same_name, ,0
efe\nails1.png, Special Case, stretch_original, ,0
efe\note1.bmp, note1.png, , ,100
efe\number.bmp, number.png, , ,99.609375
efe\oct_1998.png, Special Case, english_asset, ,0
efe\oct_4_1986.png, Special Case, english_asset, ,0
efe\oct_4_1998.png, oct_4_1998.png, , ,99.70703125
efe\oct_4_1998(2).png, oct_4_1998.png, , ,99.70703125
efe\oct_4_1998b.png, t\one_year_later.png, , ,99.70703125
efe\oct_4_1998b(2).png, t\one_year_later.png, , ,99.70703125
efe\oct_4_1998c.png, oct_4_1998c.png, , ,100
efe\oct_5_1986.png, oct_5_1986.png, , ,99.8046875
efe\op0101.png, Special Case, english_asset, ,0
efe\op0102.png, Special Case, english_asset, ,0
efe\op0103.png, Special Case, english_asset, ,0
efe\op0104.png, Special Case, english_asset, ,0
efe\op0105.png, Special Case, english_asset, ,0
efe\op0106.png, Special Case, english_asset, ,0
efe\op0107.bmp, Special Case, no_modification, ,0
efe\op0108.bmp, Special Case, english_asset, ,0
efe\op0201.png, Special Case, no_modification, ,0
